x,y,z
0.6010243892669678,1.0181964635849,3.986314709436556e-07
0.5380531549453735,0.9265567064285278,-0.021411126479506493
0.529823362827301,0.787198007106781,-0.02201581560075283
0.5952935218811035,0.6939409971237183,-0.02404729649424553
0.6562167406082153,0.6636773943901062,-0.026854194700717926
0.5401340126991272,0.7054393887519836,0.012782171368598938
0.5036695003509521,0.5858334898948669,0.002146705985069275
0.48066791892051697,0.5073125958442688,-0.01277807168662548
0.4680686593055725,0.44045117497444153,-0.026330068707466125
0.5922953486442566,0.6819257736206055,0.007310958579182625
0.5854901075363159,0.5378308296203613,-0.0005369099671952426
0.5774334669113159,0.4436664283275604,-0.019926050677895546
0.573822557926178,0.3679170608520508,-0.03515578433871269
0.6412107944488525,0.6929778456687927,-0.0038800679612904787
0.644385576248169,0.5571863055229187,-0.016875039786100388
0.6392279267311096,0.46497300267219543,-0.041140589863061905
0.635890007019043,0.3920270502567291,-0.05934450775384903
0.6894739866256714,0.7248765826225281,-0.018140004947781563
0.7122116684913635,0.6217277646064758,-0.028613649308681488
0.7210240960121155,0.5509271025657654,-0.03931832313537598
0.7277493476867676,0.4912545084953308,-0.049081504344940186
